global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
12644,12644,50576,75,30,120,248.0,0.0,248.0,312,312,154.36666666666667,7,0,1000000,3000,4
13301,13301,53204,76,657,2628,1234.0,0.0,1234.0,1423,1423,711.3744292237443,29,0,1000000,3000,4
13411,13411,53644,77,110,440,594.0,0.0,594.0,673,673,376.3545454545455,14,0,1000000,3000,4
13455,13455,53820,78,44,176,229.0,0.0,229.0,293,293,156.9318181818182,6,0,1000000,3000,4
13496,13496,53984,79,41,164,234.0,0.0,234.0,299,299,156.0731707317073,6,0,1000000,3000,4
13591,13591,54364,80,95,380,597.0,0.0,597.0,672,672,407.86315789473684,14,0,1000000,3000,4
13813,13813,55252,81,222,888,722.0,0.0,722.0,823,823,534.1891891891892,17,0,1000000,3000,4
13885,13885,55540,82,72,288,609.0,0.0,609.0,680,680,330.27777777777777,14,0,1000000,3000,4
14076,14076,56304,83,191,764,1037.0,0.0,1037.0,1131,1131,610.0785340314136,23,0,1000000,3000,4
14460,14460,57840,84,384,1536,767.0,0.0,767.0,898,898,652.0546875,18,0,1000000,3000,4
14592,14592,58368,85,132,528,750.0,0.0,750.0,833,833,495.31060606060606,17,0,1000000,3000,4
15182,15182,60728,86,590,2360,725.0,0.0,725.0,898,898,675.7525423728814,18,0,1000000,3000,4
15217,15217,60868,87,35,140,237.0,0.0,237.0,301,301,158.14285714285714,7,0,1000000,3000,4
15620,15620,62480,88,403,1612,1651.0,0.0,1651.0,1787,1787,841.4044665012407,36,0,1000000,3000,4
16099,16099,64396,89,479,1916,702.0,0.0,702.0,855,855,658.2087682672234,18,0,1000000,3000,4
16136,16136,64544,90,37,148,243.0,0.0,243.0,307,307,150.24324324324326,7,0,1000000,3000,4
16214,16214,64856,91,78,312,607.0,0.0,607.0,679,679,338.6666666666667,14,0,1000000,3000,4
16591,16591,66364,92,377,1508,737.0,0.0,737.0,870,870,641.3660477453581,18,0,1000000,3000,4
16930,16930,67720,93,339,1356,1004.0,0.0,1004.0,1126,1126,638.4837758112094,23,0,1000000,3000,4
17349,17349,69396,94,419,1676,988.0,0.0,988.0,1127,1127,706.5489260143198,23,0,1000000,3000,4
17657,17657,70628,95,308,1232,693.0,0.0,693.0,811,811,607.012987012987,17,0,1000000,3000,4
17879,17879,71516,96,222,888,723.0,0.0,723.0,824,824,520.8558558558559,17,0,1000000,3000,4
17916,17916,71664,97,37,148,247.0,0.0,247.0,311,311,141.35135135135135,7,0,1000000,3000,4
18187,18187,72748,98,271,1084,1322.0,0.0,1322.0,1434,1434,709.4317343173432,29,0,1000000,3000,4
18227,18227,72908,99,40,160,233.0,0.0,233.0,299,299,148.275,6,0,1000000,3000,4
18267,18267,73068,100,40,160,239.0,0.0,239.0,304,304,147.25,7,0,1000000,3000,4
18413,18413,73652,101,146,584,638.0,0.0,638.0,722,723,505.63013698630135,15,0,1000000,3000,4
18457,18457,73828,102,44,176,224.0,0.0,224.0,290,290,164.54545454545453,6,0,1000000,3000,4
18591,18591,74364,103,134,536,1045.0,0.0,1045.0,1127,1127,548.0149253731344,23,0,1000000,3000,4
18666,18666,74664,104,75,300,653.0,0.0,653.0,722,722,379.3466666666667,15,0,1000000,3000,4
18778,18778,75112,105,112,448,732.0,0.0,732.0,811,811,505.66964285714283,17,0,1000000,3000,4
18960,18960,75840,106,182,728,807.0,0.0,807.0,898,899,557.7197802197802,18,0,1000000,3000,4
19241,19241,76964,107,281,1124,1318.0,0.0,1318.0,1432,1432,729.9608540925267,29,0,1000000,3000,4
19283,19283,77132,108,42,168,228.0,0.0,228.0,292,292,162.21428571428572,6,0,1000000,3000,4
19599,19599,78396,109,316,1264,1307.0,0.0,1307.0,1428,1428,711.4145569620254,29,0,1000000,3000,4
19636,19636,78544,110,37,148,245.0,0.0,245.0,310,310,152.97297297297297,7,0,1000000,3000,4
