global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
9341,9341,37364,71,33,132,250.0,0.0,250.0,314,314,143.0909090909091,7,0,1000000,3000,4
9554,9554,38216,72,213,852,1035.0,0.0,1035.0,1133,1133,629.2629107981221,23,0,1000000,3000,4
9711,9711,38844,73,157,628,1047.0,0.0,1047.0,1135,1135,627.6624203821656,23,0,1000000,3000,4
9749,9749,38996,74,38,152,243.0,0.0,243.0,308,308,141.3421052631579,7,0,1000000,3000,4
9825,9825,39300,75,76,304,652.0,0.0,652.0,722,722,382.4342105263158,15,0,1000000,3000,4
9867,9867,39468,76,42,168,229.0,0.0,229.0,293,293,165.33333333333334,6,0,1000000,3000,4
10000,10000,40000,77,133,532,1046.0,0.0,1046.0,1128,1128,610.5563909774436,23,0,1000000,3000,4
10167,10167,40668,78,167,668,810.0,0.0,810.0,898,898,533.7245508982036,18,0,1000000,3000,4
10574,10574,42296,79,407,1628,990.0,0.0,990.0,1126,1126,769.9852579852579,23,0,1000000,3000,4
10657,10657,42628,80,83,332,651.0,0.0,651.0,722,723,367.31325301204816,15,0,1000000,3000,4
10700,10700,42800,81,43,172,226.0,0.0,226.0,291,291,157.51162790697674,6,0,1000000,3000,4
10835,10835,43340,82,135,540,759.0,0.0,759.0,843,843,537.0074074074074,17,0,1000000,3000,4
10865,10865,43460,83,30,120,247.0,0.0,247.0,311,311,153.43333333333334,7,0,1000000,3000,4
10900,10900,43600,84,35,140,233.0,0.0,233.0,297,297,171.5142857142857,6,0,1000000,3000,4
11169,11169,44676,85,269,1076,790.0,0.0,790.0,898,898,640.4684014869888,18,0,1000000,3000,4
11312,11312,45248,86,143,572,1045.0,0.0,1045.0,1129,1129,641.020979020979,23,0,1000000,3000,4
11414,11414,45656,87,102,408,604.0,0.0,604.0,681,681,393.1078431372549,14,0,1000000,3000,4
11588,11588,46352,88,174,696,1341.0,0.0,1341.0,1433,1433,670.7011494252873,29,0,1000000,3000,4
11676,11676,46704,89,88,352,650.0,0.0,650.0,722,722,388.9886363636364,15,0,1000000,3000,4
12014,12014,48056,90,338,1352,1311.0,0.0,1311.0,1436,1436,722.1005917159763,29,0,1000000,3000,4
12116,12116,48464,91,102,408,631.0,0.0,631.0,708,708,394.1764705882353,15,0,1000000,3000,4
12158,12158,48632,92,42,168,228.0,0.0,228.0,293,293,161.92857142857142,6,0,1000000,3000,4
12348,12348,49392,93,190,760,1034.0,0.0,1034.0,1128,1128,631.3263157894737,23,0,1000000,3000,4
12452,12452,49808,94,104,416,595.0,0.0,595.0,673,673,403.25,14,0,1000000,3000,4
12538,12538,50152,95,86,344,631.0,0.0,631.0,706,706,367.2674418604651,15,0,1000000,3000,4
12814,12814,51256,96,276,1104,1015.0,0.0,1015.0,1126,1126,621.3768115942029,23,0,1000000,3000,4
12894,12894,51576,97,80,320,616.0,0.0,616.0,689,689,345.45,14,0,1000000,3000,4
13050,13050,52200,98,156,624,1331.0,0.0,1331.0,1419,1419,713.7051282051282,29,0,1000000,3000,4
13141,13141,52564,99,91,364,631.0,0.0,631.0,706,706,397.68131868131866,15,0,1000000,3000,4
13182,13182,52728,100,41,164,229.0,0.0,229.0,293,293,163.21951219512195,6,0,1000000,3000,4
13212,13212,52848,101,30,120,248.0,0.0,248.0,310,310,165.86666666666667,7,0,1000000,3000,4
13339,13339,53356,102,127,508,1045.0,0.0,1045.0,1126,1126,600.496062992126,23,0,1000000,3000,4
13812,13812,55248,103,473,1892,977.0,0.0,977.0,1127,1127,771.5137420718816,23,0,1000000,3000,4
13886,13886,55544,104,74,296,614.0,0.0,614.0,686,686,348.3378378378378,14,0,1000000,3000,4
14054,14054,56216,105,168,672,810.0,0.0,810.0,898,898,549.4642857142857,18,0,1000000,3000,4
14640,14640,58560,106,586,2344,977.0,0.0,977.0,1152,1152,755.8344709897611,24,0,1000000,3000,4
15331,15331,61324,107,691,2764,1208.0,0.0,1208.0,1403,1403,799.178002894356,29,0,1000000,3000,4
15695,15695,62780,108,364,1456,1302.0,0.0,1302.0,1431,1431,692.8928571428571,29,0,1000000,3000,4
15789,15789,63156,109,94,376,636.0,0.0,636.0,711,711,362.47872340425533,15,0,1000000,3000,4
16064,16064,64256,110,275,1100,1018.0,0.0,1018.0,1128,1128,704.2327272727273,23,0,1000000,3000,4
16305,16305,65220,111,241,964,1309.0,0.0,1309.0,1413,1413,728.2033195020747,29,0,1000000,3000,4
16577,16577,66308,112,272,1088,1412.0,0.0,1412.0,1523,1523,810.4926470588235,31,0,1000000,3000,4
16668,16668,66672,113,91,364,630.0,0.0,630.0,706,706,383.3626373626374,15,0,1000000,3000,4
16711,16711,66844,114,43,172,224.0,0.0,224.0,290,290,163.2093023255814,6,0,1000000,3000,4
16872,16872,67488,115,161,644,1037.0,0.0,1037.0,1125,1125,657.0931677018633,23,0,1000000,3000,4
16903,16903,67612,116,31,124,244.0,0.0,244.0,306,306,163.80645161290323,7,0,1000000,3000,4
16970,16970,67880,117,67,268,608.0,0.0,608.0,678,678,326.8805970149254,14,0,1000000,3000,4
17116,17116,68464,118,146,584,1052.0,0.0,1052.0,1137,1137,565.6301369863014,23,0,1000000,3000,4
17271,17271,69084,119,155,620,1040.0,0.0,1040.0,1125,1125,634.2967741935483,23,0,1000000,3000,4
17315,17315,69260,120,44,176,222.0,0.0,222.0,287,287,165.88636363636363,6,0,1000000,3000,4
17408,17408,69632,121,93,372,635.0,0.0,635.0,710,710,368.6774193548387,15,0,1000000,3000,4
