global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,episode_flag_get,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
19773,19773,79092,122,169,676,634.0,0.0,634.0,722,723,488.4733727810651,0,15,0,1000000,3000,4
19816,19816,79264,123,43,172,233.0,0.0,233.0,297,297,154.1860465116279,0,6,0,1000000,3000,4
20071,20071,80284,124,255,1020,1024.0,0.0,1024.0,1132,1132,680.8941176470588,0,23,0,1000000,3000,4
20642,20642,82568,125,571,2284,967.0,0.0,967.0,1138,1138,744.5604203152365,0,23,0,1000000,3000,4
20734,20734,82936,126,92,368,618.0,0.0,618.0,693,693,392.7173913043478,0,14,0,1000000,3000,4
20774,20774,83096,127,40,160,230.0,0.0,230.0,295,295,157.1,0,6,0,1000000,3000,4
20885,20885,83540,128,111,444,604.0,0.0,604.0,682,682,384.8378378378378,0,14,0,1000000,3000,4
20929,20929,83716,129,44,176,233.0,0.0,233.0,297,297,155.45454545454547,0,6,0,1000000,3000,4
21096,21096,84384,130,167,668,615.0,0.0,615.0,705,705,444.91616766467064,0,15,0,1000000,3000,4
21143,21143,84572,131,47,188,221.0,0.0,221.0,286,286,157.82978723404256,0,6,0,1000000,3000,4
21349,21349,85396,132,206,824,760.0,0.0,760.0,857,857,518.7281553398059,0,18,0,1000000,3000,4
21795,21795,87180,133,446,1784,996.0,0.0,996.0,1142,1142,731.2757847533633,0,23,0,1000000,3000,4
22321,22321,89284,134,526,2104,664.0,0.0,664.0,826,826,646.2889733840304,0,17,0,1000000,3000,4
22436,22436,89744,135,115,460,610.0,0.0,610.0,689,689,375.6347826086957,0,14,0,1000000,3000,4
22596,22596,90384,136,160,640,635.0,0.0,635.0,722,722,484.75625,0,15,0,1000000,3000,4
22764,22764,91056,137,168,672,634.0,0.0,634.0,722,722,481.4940476190476,0,15,0,1000000,3000,4
22971,22971,91884,138,207,828,695.0,0.0,695.0,793,793,490.07246376811594,0,16,0,1000000,3000,4
23007,23007,92028,139,36,144,240.0,0.0,240.0,303,303,160.27777777777777,0,7,0,1000000,3000,4
23039,23039,92156,140,32,128,241.0,0.0,241.0,304,304,164.8125,0,7,0,1000000,3000,4
23183,23183,92732,141,144,576,710.0,0.0,710.0,794,794,455.86805555555554,0,16,0,1000000,3000,4
23288,23288,93152,142,105,420,616.0,0.0,616.0,693,693,373.62857142857143,0,14,0,1000000,3000,4
23539,23539,94156,143,251,1004,1301.0,0.0,1301.0,1408,1408,736.2191235059761,0,29,0,1000000,3000,4
23587,23587,94348,144,48,192,217.0,0.0,217.0,283,283,166.22916666666666,0,6,0,1000000,3000,4
23790,23790,95160,145,203,812,749.0,0.0,749.0,846,846,524.551724137931,0,17,0,1000000,3000,4
23991,23991,95964,146,201,804,1029.0,0.0,1029.0,1124,1124,606.3333333333334,0,23,0,1000000,3000,4
