global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,episode_flag_get,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
20574,20574,82296,125,45,180,223.0,0.0,223.0,287,287,165.13333333333333,0,6,0,1000000,3000,4
20673,20673,82692,126,99,396,615.0,0.0,615.0,691,691,387.80808080808083,0,14,0,1000000,3000,4
20717,20717,82868,127,44,176,235.0,0.0,235.0,301,301,143.70454545454547,0,7,0,1000000,3000,4
20751,20751,83004,128,34,136,247.0,0.0,247.0,311,311,147.64705882352942,0,7,0,1000000,3000,4
20789,20789,83156,129,38,152,227.0,0.0,227.0,291,291,173.6315789473684,0,6,0,1000000,3000,4
20874,20874,83496,130,85,340,626.0,0.0,626.0,700,700,380.1058823529412,0,15,0,1000000,3000,4
20985,20985,83940,131,111,444,608.0,0.0,608.0,687,687,376.26126126126127,0,14,0,1000000,3000,4
21028,21028,84112,132,43,172,236.0,0.0,236.0,302,302,149.4418604651163,0,7,0,1000000,3000,4
21072,21072,84288,133,44,176,237.0,0.0,237.0,303,303,143.88636363636363,0,7,0,1000000,3000,4
21209,21209,84836,134,137,548,569.0,0.0,569.0,653,653,364.0729927007299,0,14,0,1000000,3000,4
21765,21765,87060,135,556,2224,3010.0,0.0,3010.0,3161,3161,1578.019784172662,1,64,0,1000000,3000,4
21812,21812,87248,136,47,188,231.0,0.0,231.0,297,297,142.68085106382978,0,6,0,1000000,3000,4
21929,21929,87716,137,117,468,590.0,0.0,590.0,670,670,385.2478632478632,0,14,0,1000000,3000,4
22143,22143,88572,138,214,856,1334.0,0.0,1334.0,1434,1434,756.8785046728972,0,29,0,1000000,3000,4
22227,22227,88908,139,84,336,615.0,0.0,615.0,689,689,341.9166666666667,0,14,0,1000000,3000,4
22437,22437,89748,140,210,840,1030.0,0.0,1030.0,1127,1127,564.5333333333333,0,23,0,1000000,3000,4
22472,22472,89888,141,35,140,251.0,0.0,251.0,315,315,151.31428571428572,0,7,0,1000000,3000,4
22681,22681,90724,142,209,836,1337.0,0.0,1337.0,1436,1436,697.1004784688995,0,29,0,1000000,3000,4
22976,22976,91904,143,295,1180,1892.0,0.0,1892.0,2006,2006,964.5084745762712,0,41,0,1000000,3000,4
23011,23011,92044,144,35,140,246.0,0.0,246.0,311,311,153.5142857142857,0,7,0,1000000,3000,4
23046,23046,92184,145,35,140,245.0,0.0,245.0,309,309,151.45714285714286,0,7,0,1000000,3000,4
23206,23206,92824,146,160,640,1346.0,0.0,1346.0,1435,1435,689.5625,0,29,0,1000000,3000,4
23395,23395,93580,147,189,756,1037.0,0.0,1037.0,1131,1131,621.7989417989418,0,23,0,1000000,3000,4
23433,23433,93732,148,38,152,237.0,0.0,237.0,302,302,153.10526315789474,0,7,0,1000000,3000,4
23474,23474,93896,149,41,164,231.0,0.0,231.0,296,296,157.90243902439025,0,6,0,1000000,3000,4
23547,23547,94188,150,73,292,610.0,0.0,610.0,682,682,327.06849315068496,0,14,0,1000000,3000,4
23645,23645,94580,151,98,392,628.0,0.0,628.0,704,704,392.8775510204082,0,15,0,1000000,3000,4
23678,23678,94712,152,33,132,243.0,0.0,243.0,306,306,156.87878787878788,0,7,0,1000000,3000,4
23782,23782,95128,153,104,416,629.0,0.0,629.0,705,705,359.90384615384613,0,15,0,1000000,3000,4
23825,23825,95300,154,43,172,238.0,0.0,238.0,303,303,146.30232558139534,0,7,0,1000000,3000,4
23938,23938,95752,155,113,452,594.0,0.0,594.0,673,673,385.646017699115,0,14,0,1000000,3000,4
24140,24140,96560,156,202,808,1336.0,0.0,1336.0,1434,1434,653.6237623762377,0,29,0,1000000,3000,4
24273,24273,97092,157,133,532,758.0,0.0,758.0,841,841,511.2631578947368,0,17,0,1000000,3000,4
24391,24391,97564,158,118,472,614.0,0.0,614.0,694,694,400.60169491525426,0,14,0,1000000,3000,4
24462,24462,97848,159,71,284,629.0,0.0,629.0,701,701,372.2676056338028,0,15,0,1000000,3000,4
24498,24498,97992,160,36,144,245.0,0.0,245.0,310,310,139.19444444444446,0,7,0,1000000,3000,4
24785,24785,99140,161,287,1148,1657.0,0.0,1657.0,1770,1770,854.3170731707318,0,36,0,1000000,3000,4
24830,24830,99320,162,45,180,222.0,0.0,222.0,287,287,163.6,0,6,0,1000000,3000,4
24866,24866,99464,163,36,144,249.0,0.0,249.0,314,314,146.83333333333334,0,7,0,1000000,3000,4
25032,25032,100128,164,166,664,1038.0,0.0,1038.0,1126,1126,575.1325301204819,0,23,0,1000000,3000,4
25068,25068,100272,165,36,144,239.0,0.0,239.0,304,304,161.41666666666666,0,7,0,1000000,3000,4
25099,25099,100396,166,31,124,243.0,0.0,243.0,307,307,156.16129032258064,0,7,0,1000000,3000,4
25328,25328,101312,167,229,916,1333.0,0.0,1333.0,1436,1436,687.4890829694323,0,29,0,1000000,3000,4
25539,25539,102156,168,211,844,1411.0,0.0,1411.0,1510,1510,745.4123222748815,0,31,0,1000000,3000,4
25572,25572,102288,169,33,132,247.0,0.0,247.0,311,311,151.36363636363637,0,7,0,1000000,3000,4
25606,25606,102424,170,34,136,245.0,0.0,245.0,309,309,154.58823529411765,0,7,0,1000000,3000,4
