global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
6656,6656,26624,0.0069287680089473724,23.370630264282227,1.6879103183746338,0.0013258997350931168,0.04296875,0.0001,18,24,37,13,27,6,3,0,0,0,0,0,0.2890625,1,0.03,1.4247944122303124e-05,0.0018237368476548
6784,6784,27136,-0.0053922440856695175,15.280242919921875,1.6891233921051025,0.00024934951215982437,0.0,0.0001,19,27,36,8,34,2,2,0,0,0,0,0,0.28125,1,0.03,1.9587938844267683e-05,0.0025072561720662634
6912,6912,27648,0.0045408159494400024,10.405983924865723,1.7153449058532715,0.0014252029359340668,0.015625,0.0001,17,23,39,18,25,3,3,0,0,0,0,0,0.3046875,1,0.03,3.116891362253682e-05,0.003989620943684713
7040,7040,28160,0.009161408990621567,12.698801040649414,1.7545268535614014,0.002868584357202053,0.04296875,0.0001,22,28,37,9,21,7,4,0,0,0,0,0,0.2890625,1,0.03,3.0889311062765046e-05,0.003953831816033926
7168,7168,28672,0.0005861539393663406,78.627197265625,1.754671573638916,0.0010565631091594696,0.0,0.0001,21,24,30,18,22,11,2,0,0,0,0,0,0.234375,1,0.03,2.3435387802805963e-05,0.002999729638759163
7296,7296,29184,0.0014729499816894531,64.20393371582031,1.723603367805481,0.0011716252192854881,0.0,0.0001,15,22,41,18,25,5,2,0,0,0,0,0,0.3203125,1,0.03,1.4673621961946992e-05,0.001878223611129215
7424,7424,29696,0.0031079761683940887,52.98759841918945,1.6641134023666382,0.0029156021773815155,0.01953125,0.0001,14,21,45,16,23,7,2,0,0,0,0,0,0.3515625,1,0.03,1.0858498121990579e-05,0.001389887759614794
7552,7552,30208,-0.00970623642206192,19.926979064941406,1.5693371295928955,0.005354408174753189,0.1015625,0.0001,13,24,43,16,25,5,2,0,0,0,0,0,0.3359375,1,0.03,1.0726769005486858e-05,0.0013730264327023178
7680,7680,30720,0.0001996457576751709,23.109943389892578,1.424654245376587,0.009759572334587574,0.234375,0.0001,13,17,60,12,20,4,2,0,0,0,0,0,0.46875,1,0.03,1.1913170034461018e-05,0.0015248857644110103
7808,7808,31232,0.019995346665382385,13.813186645507812,1.2500457763671875,0.009675531648099422,0.23828125,0.0001,12,16,72,6,21,1,0,0,0,0,0,0,0.5625,1,0.03,1.7764542477038958e-05,0.0022738614370609866
